year,month,circle,type_of_connection,service_provider,value,notes
2016,February,Kolkata,wireless,Tata Teleservices,2776797,
2016,February,Madhya Pradesh,wireless,Tata Teleservices,4715828,
2016,February,Maharashtra,wireless,Tata Teleservices,6580574,
2016,February,Mumbai,wireless,Tata Teleservices,3331467,
2016,February,North East,wireless,Tata Teleservices,,
2016,February,Odisha,wireless,Tata Teleservices,2249134,
2016,February,Punjab,wireless,Tata Teleservices,2667707,
2016,February,Rajasthan,wireless,Tata Teleservices,1498041,
2016,February,Tamil Nadu (including Chennai),wireless,Tata Teleservices,4956244,
2016,February,Uttar Pradesh (East),wireless,Tata Teleservices,4115330,
2016,February,Uttar Pradesh (West),wireless,Tata Teleservices,3478791,
2016,February,West Bengal,wireless,Tata Teleservices,465365,
2016,February,All India,wireless,Tata Teleservices,60278625,
2016,February,Andhra Pradesh,wireless,Idea,15460845,
2016,February,Assam,wireless,Idea,1148252,
2016,February,Bihar,wireless,Idea,11181318,
2016,February,Delhi,wireless,Idea,6206267,
2016,February,Gujarat,wireless,Idea,12136328,
2016,February,Haryana,wireless,Idea,4617519,
2016,February,Himachal Pradesh,wireless,Idea,791062,
2016,February,Jammu and Kashmir,wireless,Idea,618001,
2016,February,Karnataka,wireless,Idea,8474547,
2016,February,Kerala,wireless,Idea,10362356,
2016,February,Kolkata,wireless,Idea,2170173,
2016,February,Madhya Pradesh,wireless,Idea,21089876,
2016,February,Maharashtra,wireless,Idea,23344618,
2016,February,Mumbai,wireless,Idea,4269970,
2016,February,North East,wireless,Idea,501369,
2016,February,Odisha,wireless,Idea,1703251,
2016,February,Punjab,wireless,Idea,6440321,
2016,February,Rajasthan,wireless,Idea,7819633,
2016,February,Tamil Nadu (including Chennai),wireless,Idea,5995868,
2016,February,Uttar Pradesh (East),wireless,Idea,10687993,
2016,February,Uttar Pradesh (West),wireless,Idea,14209495,
2016,February,West Bengal,wireless,Idea,5398429,
2016,February,All India,wireless,Idea,174627491,
2016,February,Andhra Pradesh,wireless,Aircel,2780988,
2016,February,Assam,wireless,Aircel,5077054,
2016,February,Bihar,wireless,Aircel,6968769,
2016,February,Delhi,wireless,Aircel,6279187,
2016,February,Gujarat,wireless,Aircel,17063,
2016,February,Haryana,wireless,Aircel,3092,
2016,February,Himachal Pradesh,wireless,Aircel,1088770,
2016,February,Jammu and Kashmir,wireless,Aircel,2524344,
2016,February,Karnataka,wireless,Aircel,3072137,
2016,February,Kerala,wireless,Aircel,258032,
2016,February,Kolkata,wireless,Aircel,4134247,
2016,February,Madhya Pradesh,wireless,Aircel,20694,
2016,February,Maharashtra,wireless,Aircel,2607191,
2016,February,Mumbai,wireless,Aircel,2829840,
2016,February,North East,wireless,Aircel,3109130,
2016,February,Odisha,wireless,Aircel,4560539,
2016,February,Punjab,wireless,Aircel,1051297,
2016,February,Rajasthan,wireless,Aircel,6403330,
2016,February,Tamil Nadu (including Chennai),wireless,Aircel,21527561,
2016,February,Uttar Pradesh (East),wireless,Aircel,6830208,
2016,February,Uttar Pradesh (West),wireless,Aircel,648563,
2016,February,West Bengal,wireless,Aircel,4885742,
2016,February,All India,wireless,Aircel,86677778,
2016,February,Andhra Pradesh,wireless,BSNL,9625078,
2016,February,Assam,wireless,BSNL,1298631,
2016,February,Bihar,wireless,BSNL,3095018,
2016,February,Delhi,wireless,BSNL,,
2016,February,Gujarat,wireless,BSNL,3502686,
2016,February,Haryana,wireless,BSNL,3160674,
2016,February,Himachal Pradesh,wireless,BSNL,1631227,
2016,February,Jammu and Kashmir,wireless,BSNL,1279230,
2016,February,Karnataka,wireless,BSNL,6963766,
2016,February,Kerala,wireless,BSNL,7440807,
2016,February,Kolkata,wireless,BSNL,775958,
2016,February,Madhya Pradesh,wireless,BSNL,4254389,
2016,February,Maharashtra,wireless,BSNL,5720172,
2016,February,Mumbai,wireless,BSNL,,
2016,February,North East,wireless,BSNL,1509729,
2016,February,Odisha,wireless,BSNL,4043638,
2016,February,Punjab,wireless,BSNL,3497932,
2016,February,Rajasthan,wireless,BSNL,3820584,
2016,February,Tamil Nadu (including Chennai),wireless,BSNL,8740237,
2016,February,Uttar Pradesh (East),wireless,BSNL,8689512,
2016,February,Uttar Pradesh (West),wireless,BSNL,4157713,
2016,February,West Bengal,wireless,BSNL,1619587,
2016,February,All India,wireless,BSNL,84826568,
2016,February,Andhra Pradesh,wireless,MTNL,,
2016,February,Assam,wireless,MTNL,,
2016,February,Bihar,wireless,MTNL,,
2016,February,Delhi,wireless,MTNL,2339788,
2016,February,Gujarat,wireless,MTNL,,
2016,February,Haryana,wireless,MTNL,,
2016,February,Himachal Pradesh,wireless,MTNL,,
2016,February,Jammu and Kashmir,wireless,MTNL,,
2016,February,Karnataka,wireless,MTNL,,
2016,February,Kerala,wireless,MTNL,,
2016,February,Kolkata,wireless,MTNL,,
2016,February,Madhya Pradesh,wireless,MTNL,,
2016,February,Maharashtra,wireless,MTNL,,
2016,February,Mumbai,wireless,MTNL,1294567,
2016,February,North East,wireless,MTNL,,
2016,February,Odisha,wireless,MTNL,,
2016,February,Punjab,wireless,MTNL,,
2016,February,Rajasthan,wireless,MTNL,,
2016,February,Tamil Nadu (including Chennai),wireless,MTNL,,
2016,February,Uttar Pradesh (East),wireless,MTNL,,
2016,February,Uttar Pradesh (West),wireless,MTNL,,
2016,February,West Bengal,wireless,MTNL,,
2016,February,All India,wireless,MTNL,3634355,
2016,February,Andhra Pradesh,wireless,Telenor,5712060,
2016,February,Assam,wireless,Telenor,,
2016,February,Bihar,wireless,Telenor,8633814,
2016,February,Delhi,wireless,Telenor,,
2016,February,Gujarat,wireless,Telenor,8644338,
2016,February,Haryana,wireless,Telenor,,
2016,February,Himachal Pradesh,wireless,Telenor,,
2016,February,Jammu and Kashmir,wireless,Telenor,,
2016,February,Karnataka,wireless,Telenor,,
2016,February,Kerala,wireless,Telenor,,
2016,February,Kolkata,wireless,Telenor,,
2016,February,Madhya Pradesh,wireless,Telenor,,
2016,February,Maharashtra,wireless,Telenor,8093312,
2016,February,Mumbai,wireless,Telenor,,
2016,February,North East,wireless,Telenor,,
2016,February,Odisha,wireless,Telenor,,
2016,February,Punjab,wireless,Telenor,,
2016,February,Rajasthan,wireless,Telenor,,
2016,February,Tamil Nadu (including Chennai),wireless,Telenor,,
2016,February,Uttar Pradesh (East),wireless,Telenor,12071627,
2016,February,Uttar Pradesh (West),wireless,Telenor,8522382,
2016,February,West Bengal,wireless,Telenor,,
2016,February,All India,wireless,Telenor,51677533,
2016,February,Andhra Pradesh,wireless,Sistema,,
2016,February,Assam,wireless,Sistema,,
2016,February,Bihar,wireless,Sistema,,
2016,February,Delhi,wireless,Sistema,934410,
2016,February,Gujarat,wireless,Sistema,206740,
2016,February,Haryana,wireless,Sistema,,
2016,February,Himachal Pradesh,wireless,Sistema,,
2016,February,Jammu and Kashmir,wireless,Sistema,,
2016,February,Karnataka,wireless,Sistema,1184568,
2016,February,Kerala,wireless,Sistema,356748,
2016,February,Kolkata,wireless,Sistema,538938,
2016,February,Madhya Pradesh,wireless,Sistema,,
2016,February,Maharashtra,wireless,Sistema,,
2016,February,Mumbai,wireless,Sistema,,
2016,February,North East,wireless,Sistema,,
2016,February,Odisha,wireless,Sistema,,
2016,February,Punjab,wireless,Sistema,,
2016,February,Rajasthan,wireless,Sistema,2109340,
2016,February,Tamil Nadu (including Chennai),wireless,Sistema,755851,
2016,February,Uttar Pradesh (East),wireless,Sistema,,
2016,February,Uttar Pradesh (West),wireless,Sistema,157017,
2016,February,West Bengal,wireless,Sistema,1501153,
2016,February,All India,wireless,Sistema,7744765,
2016,February,Andhra Pradesh,wireless,Videocon,,
2016,February,Assam,wireless,Videocon,,
2016,February,Bihar,wireless,Videocon,20774,
2016,February,Delhi,wireless,Videocon,,
2016,February,Gujarat,wireless,Videocon,879413,
2016,February,Haryana,wireless,Videocon,2236766,
2016,February,Himachal Pradesh,wireless,Videocon,,
2016,February,Jammu and Kashmir,wireless,Videocon,,
2016,February,Karnataka,wireless,Videocon,,
2016,February,Kerala,wireless,Videocon,,
2016,February,Kolkata,wireless,Videocon,,
2016,February,Madhya Pradesh,wireless,Videocon,3557834,
2016,February,Maharashtra,wireless,Videocon,,
2016,February,Mumbai,wireless,Videocon,,
2016,February,North East,wireless,Videocon,,
2016,February,Odisha,wireless,Videocon,,
2016,February,Punjab,wireless,Videocon,,
2016,February,Rajasthan,wireless,Videocon,,
2016,February,Tamil Nadu (including Chennai),wireless,Videocon,,
2016,February,Uttar Pradesh (East),wireless,Videocon,13155,
2016,February,Uttar Pradesh (West),wireless,Videocon,20043,
2016,February,West Bengal,wireless,Videocon,,
2016,February,All India,wireless,Videocon,6727985,
2016,February,Andhra Pradesh,wireless,Quadrant,,
2016,February,Assam,wireless,Quadrant,,
2016,February,Bihar,wireless,Quadrant,,
2016,February,Delhi,wireless,Quadrant,,
2016,February,Gujarat,wireless,Quadrant,,
2016,February,Haryana,wireless,Quadrant,,
2016,February,Himachal Pradesh,wireless,Quadrant,,
2016,February,Jammu and Kashmir,wireless,Quadrant,,
2016,February,Karnataka,wireless,Quadrant,,
2016,February,Kerala,wireless,Quadrant,,
2016,February,Kolkata,wireless,Quadrant,,
2016,February,Madhya Pradesh,wireless,Quadrant,,
2016,February,Maharashtra,wireless,Quadrant,,
2016,February,Mumbai,wireless,Quadrant,,
2016,February,North East,wireless,Quadrant,,
2016,February,Odisha,wireless,Quadrant,,
2016,February,Punjab,wireless,Quadrant,3126765,
2016,February,Rajasthan,wireless,Quadrant,,
2016,February,Tamil Nadu (including Chennai),wireless,Quadrant,,
2016,February,Uttar Pradesh (East),wireless,Quadrant,,
2016,February,Uttar Pradesh (West),wireless,Quadrant,,
2016,February,West Bengal,wireless,Quadrant,,
2016,February,All India,wireless,Quadrant,3126765,
2016,January,Andhra Pradesh,wireless,Bharti Airtel,23427595,
2016,January,Assam,wireless,Bharti Airtel,5787130,
2016,January,Bihar,wireless,Bharti Airtel,27340013,
2016,January,Delhi,wireless,Bharti Airtel,11223514,
2016,January,Gujarat,wireless,Bharti Airtel,8475513,
2016,January,Haryana,wireless,Bharti Airtel,2870723,
2016,January,Himachal Pradesh,wireless,Bharti Airtel,2726705,
2016,January,Jammu and Kashmir,wireless,Bharti Airtel,3341717,
2016,January,Karnataka,wireless,Bharti Airtel,20858083,
2016,January,Kerala,wireless,Bharti Airtel,4239703,
2016,January,Kolkata,wireless,Bharti Airtel,4589173,
2016,January,Madhya Pradesh,wireless,Bharti Airtel,12231563,
2016,January,Maharashtra,wireless,Bharti Airtel,12923674,
2016,January,Mumbai,wireless,Bharti Airtel,5640763,
2016,January,North East,wireless,Bharti Airtel,3844096,
2016,January,Odisha,wireless,Bharti Airtel,9927674,
2016,January,Punjab,wireless,Bharti Airtel,7947457,
2016,January,Rajasthan,wireless,Bharti Airtel,19024478,
2016,January,Tamil Nadu (including Chennai),wireless,Bharti Airtel,16933900,
2016,January,Uttar Pradesh (East),wireless,Bharti Airtel,20277093,
2016,January,Uttar Pradesh (West),wireless,Bharti Airtel,7991197,
2016,January,West Bengal,wireless,Bharti Airtel,14168114,
2016,January,All India,wireless,Bharti Airtel,245789878,
2016,January,Andhra Pradesh,wireless,Reliance Communications,5453314,
2016,January,Assam,wireless,Reliance Communications,1304997,
2016,January,Bihar,wireless,Reliance Communications,4338858,
2016,January,Delhi,wireless,Reliance Communications,8579083,
2016,January,Gujarat,wireless,Reliance Communications,5520957,
2016,January,Haryana,wireless,Reliance Communications,2045385,
2016,January,Himachal Pradesh,wireless,Reliance Communications,1744297,
2016,January,Jammu and Kashmir,wireless,Reliance Communications,887736,
2016,January,Karnataka,wireless,Reliance Communications,5777449,
2016,January,Kerala,wireless,Reliance Communications,2175837,
2016,January,Kolkata,wireless,Reliance Communications,4572537,
2016,January,Madhya Pradesh,wireless,Reliance Communications,12323660,
2016,January,Maharashtra,wireless,Reliance Communications,5502567,
2016,January,Mumbai,wireless,Reliance Communications,5852646,
2016,January,North East,wireless,Reliance Communications,336438,
2016,January,Odisha,wireless,Reliance Communications,1744963,
2016,January,Punjab,wireless,Reliance Communications,1620768,
2016,January,Rajasthan,wireless,Reliance Communications,6844579,
2016,January,Tamil Nadu (including Chennai),wireless,Reliance Communications,6637837,
2016,January,Uttar Pradesh (East),wireless,Reliance Communications,9028105,
2016,January,Uttar Pradesh (West),wireless,Reliance Communications,5858885,
2016,January,West Bengal,wireless,Reliance Communications,3055135,
2016,January,All India,wireless,Reliance Communications,101206033,
2016,January,Andhra Pradesh,wireless,Vodafone,7107049,
2016,January,Assam,wireless,Vodafone,3508774,
2016,January,Bihar,wireless,Vodafone,9269029,
2016,January,Delhi,wireless,Vodafone,10061022,
2016,January,Gujarat,wireless,Vodafone,19298413,
2016,January,Haryana,wireless,Vodafone,5367768,
2016,January,Himachal Pradesh,wireless,Vodafone,699485,
2016,January,Jammu and Kashmir,wireless,Vodafone,1056408,
2016,January,Karnataka,wireless,Vodafone,7628287,
2016,January,Kerala,wireless,Vodafone,7493254,
2016,January,Kolkata,wireless,Vodafone,5283867,
2016,January,Madhya Pradesh,wireless,Vodafone,6789504,
2016,January,Maharashtra,wireless,Vodafone,18131138,
2016,January,Mumbai,wireless,Vodafone,8658602,
2016,January,North East,wireless,Vodafone,1500392,
2016,January,Odisha,wireless,Vodafone,3960561,
2016,January,Punjab,wireless,Vodafone,5076263,
2016,January,Rajasthan,wireless,Vodafone,11806683,
2016,January,Tamil Nadu (including Chennai),wireless,Vodafone,15327889,
2016,January,Uttar Pradesh (East),wireless,Vodafone,18572976,
2016,January,Uttar Pradesh (West),wireless,Vodafone,11228385,
2016,January,West Bengal,wireless,Vodafone,16886523,
2016,January,All India,wireless,Vodafone,194712272,
2016,January,Andhra Pradesh,wireless,Tata Teleservices,5135204,
2016,January,Assam,wireless,Tata Teleservices,,
2016,January,Bihar,wireless,Tata Teleservices,1765920,
2016,January,Delhi,wireless,Tata Teleservices,2430215,
2016,January,Gujarat,wireless,Tata Teleservices,2829234,
2016,January,Haryana,wireless,Tata Teleservices,2756227,
2016,January,Himachal Pradesh,wireless,Tata Teleservices,70766,
2016,January,Jammu and Kashmir,wireless,Tata Teleservices,,
2016,January,Karnataka,wireless,Tata Teleservices,7331007,
2016,January,Kerala,wireless,Tata Teleservices,1557011,
2016,January,Kolkata,wireless,Tata Teleservices,2775817,
2016,January,Madhya Pradesh,wireless,Tata Teleservices,4730025,
2016,January,Maharashtra,wireless,Tata Teleservices,6429856,
2016,January,Mumbai,wireless,Tata Teleservices,3271927,
2016,January,North East,wireless,Tata Teleservices,,
2016,January,Odisha,wireless,Tata Teleservices,2272747,
2016,January,Punjab,wireless,Tata Teleservices,2632940,
2016,January,Rajasthan,wireless,Tata Teleservices,1505751,
2016,January,Tamil Nadu (including Chennai),wireless,Tata Teleservices,5107973,
2016,January,Uttar Pradesh (East),wireless,Tata Teleservices,4173729,
2016,January,Uttar Pradesh (West),wireless,Tata Teleservices,3551895,
2016,January,West Bengal,wireless,Tata Teleservices,475266,
2016,January,All India,wireless,Tata Teleservices,60803510,
2016,January,Andhra Pradesh,wireless,Idea,15386659,
2016,January,Assam,wireless,Idea,1110977,
2016,January,Bihar,wireless,Idea,10913516,
2016,January,Delhi,wireless,Idea,6193560,
2016,January,Gujarat,wireless,Idea,12111114,
2016,January,Haryana,wireless,Idea,4592164,
2016,January,Himachal Pradesh,wireless,Idea,781445,
2016,January,Jammu and Kashmir,wireless,Idea,606252,
2016,January,Karnataka,wireless,Idea,8530912,
2016,January,Kerala,wireless,Idea,10305124,
2016,January,Kolkata,wireless,Idea,2160394,
2016,January,Madhya Pradesh,wireless,Idea,20849918,
2016,January,Maharashtra,wireless,Idea,23197316,
2016,January,Mumbai,wireless,Idea,4299425,
2016,January,North East,wireless,Idea,492579,
2016,January,Odisha,wireless,Idea,1666525,
2016,January,Punjab,wireless,Idea,6369198,
2016,January,Rajasthan,wireless,Idea,7836178,
2016,January,Tamil Nadu (including Chennai),wireless,Idea,5994262,
2016,January,Uttar Pradesh (East),wireless,Idea,10488809,
2016,January,Uttar Pradesh (West),wireless,Idea,13942005,
2016,January,West Bengal,wireless,Idea,5335322,
2016,January,All India,wireless,Idea,173163654,
2016,January,Andhra Pradesh,wireless,Aircel,2818861,
2016,January,Assam,wireless,Aircel,4944278,
2016,January,Bihar,wireless,Aircel,6926829,
2016,January,Delhi,wireless,Aircel,6168663,
2016,January,Gujarat,wireless,Aircel,17063,
2016,January,Haryana,wireless,Aircel,3092,
2016,January,Himachal Pradesh,wireless,Aircel,1065417,
2016,January,Jammu and Kashmir,wireless,Aircel,2521220,
2016,January,Karnataka,wireless,Aircel,3044664,
2016,January,Kerala,wireless,Aircel,226579,
2016,January,Kolkata,wireless,Aircel,4058155,
2016,January,Madhya Pradesh,wireless,Aircel,20694,
2016,January,Maharashtra,wireless,Aircel,2553946,
2016,January,Mumbai,wireless,Aircel,2778445,
2016,January,North East,wireless,Aircel,3112530,
2016,January,Odisha,wireless,Aircel,4509240,
2016,January,Punjab,wireless,Aircel,1043797,
2016,January,Rajasthan,wireless,Aircel,6318616,
2016,January,Tamil Nadu (including Chennai),wireless,Aircel,21402847,
2016,January,Uttar Pradesh (East),wireless,Aircel,6754542,
2016,January,Uttar Pradesh (West),wireless,Aircel,598023,
2016,January,West Bengal,wireless,Aircel,5179761,
2016,January,All India,wireless,Aircel,86067262,
2016,January,Andhra Pradesh,wireless,BSNL,9628595,
2016,January,Assam,wireless,BSNL,1286165,
2016,January,Bihar,wireless,BSNL,2905457,
2016,January,Delhi,wireless,BSNL,,
2016,January,Gujarat,wireless,BSNL,3421758,
2016,January,Haryana,wireless,BSNL,3096666,
2016,January,Himachal Pradesh,wireless,BSNL,1581373,
2016,January,Jammu and Kashmir,wireless,BSNL,1259738,
2016,January,Karnataka,wireless,BSNL,7029794,
2016,January,Kerala,wireless,BSNL,7326292,
2016,January,Kolkata,wireless,BSNL,768631,
2016,January,Madhya Pradesh,wireless,BSNL,4149144,
2016,January,Maharashtra,wireless,BSNL,5572659,
2016,January,Mumbai,wireless,BSNL,,
2016,January,North East,wireless,BSNL,1476160,
2016,January,Odisha,wireless,BSNL,3961915,
2016,January,Punjab,wireless,BSNL,3409804,
2016,January,Rajasthan,wireless,BSNL,3695077,
2016,January,Tamil Nadu (including Chennai),wireless,BSNL,8729472,
2016,January,Uttar Pradesh (East),wireless,BSNL,8490081,
2016,January,Uttar Pradesh (West),wireless,BSNL,4043565,
2016,January,West Bengal,wireless,BSNL,1600395,
2016,January,All India,wireless,BSNL,83432741,
2016,January,Andhra Pradesh,wireless,MTNL,,
2016,January,Assam,wireless,MTNL,,
2016,January,Bihar,wireless,MTNL,,
2016,January,Delhi,wireless,MTNL,2339526,
2016,January,Gujarat,wireless,MTNL,,
2016,January,Haryana,wireless,MTNL,,
2016,January,Himachal Pradesh,wireless,MTNL,,
2016,January,Jammu and Kashmir,wireless,MTNL,,
2016,January,Karnataka,wireless,MTNL,,
2016,January,Kerala,wireless,MTNL,,
2016,January,Kolkata,wireless,MTNL,,
2016,January,Madhya Pradesh,wireless,MTNL,,
2016,January,Maharashtra,wireless,MTNL,,
2016,January,Mumbai,wireless,MTNL,1284133,
2016,January,North East,wireless,MTNL,,
2016,January,Odisha,wireless,MTNL,,
2016,January,Punjab,wireless,MTNL,,
2016,January,Rajasthan,wireless,MTNL,,
2016,January,Tamil Nadu (including Chennai),wireless,MTNL,,
2016,January,Uttar Pradesh (East),wireless,MTNL,,
2016,January,Uttar Pradesh (West),wireless,MTNL,,
2016,January,West Bengal,wireless,MTNL,,
2016,January,All India,wireless,MTNL,3623659,
2016,January,Andhra Pradesh,wireless,Telenor,5830884,
2016,January,Assam,wireless,Telenor,,
2016,January,Bihar,wireless,Telenor,8557985,
2016,January,Delhi,wireless,Telenor,,
2016,January,Gujarat,wireless,Telenor,8480313,
2016,January,Haryana,wireless,Telenor,,
2016,January,Himachal Pradesh,wireless,Telenor,,
2016,January,Jammu and Kashmir,wireless,Telenor,,
2016,January,Karnataka,wireless,Telenor,,
2016,January,Kerala,wireless,Telenor,,
2016,January,Kolkata,wireless,Telenor,,
2016,January,Madhya Pradesh,wireless,Telenor,,
2016,January,Maharashtra,wireless,Telenor,8017305,
2016,January,Mumbai,wireless,Telenor,,
2016,January,North East,wireless,Telenor,,
2016,January,Odisha,wireless,Telenor,,
2016,January,Punjab,wireless,Telenor,,
2016,January,Rajasthan,wireless,Telenor,,
2016,January,Tamil Nadu (including Chennai),wireless,Telenor,,
2016,January,Uttar Pradesh (East),wireless,Telenor,12073385,
2016,January,Uttar Pradesh (West),wireless,Telenor,8467092,
2016,January,West Bengal,wireless,Telenor,,
2016,January,All India,wireless,Telenor,51426964,
2016,January,Andhra Pradesh,wireless,Sistema,,
2016,January,Assam,wireless,Sistema,,
2016,January,Bihar,wireless,Sistema,,
2016,January,Delhi,wireless,Sistema,945937,
2016,January,Gujarat,wireless,Sistema,208819,
2016,January,Haryana,wireless,Sistema,,
2016,January,Himachal Pradesh,wireless,Sistema,,
2016,January,Jammu and Kashmir,wireless,Sistema,,
2016,January,Karnataka,wireless,Sistema,1217671,
2016,January,Kerala,wireless,Sistema,360026,
2016,January,Kolkata,wireless,Sistema,550417,
2016,January,Madhya Pradesh,wireless,Sistema,,
2016,January,Maharashtra,wireless,Sistema,,
2016,January,Mumbai,wireless,Sistema,,
2016,January,North East,wireless,Sistema,,
2016,January,Odisha,wireless,Sistema,,
2016,January,Punjab,wireless,Sistema,,
2016,January,Rajasthan,wireless,Sistema,2155515,
2016,January,Tamil Nadu (including Chennai),wireless,Sistema,763632,
2016,January,Uttar Pradesh (East),wireless,Sistema,,
2016,January,Uttar Pradesh (West),wireless,Sistema,157414,
2016,January,West Bengal,wireless,Sistema,1535357,
2016,January,All India,wireless,Sistema,7894788,
2016,January,Andhra Pradesh,wireless,Videocon,,
2016,January,Assam,wireless,Videocon,,
2016,January,Bihar,wireless,Videocon,21352,
2016,January,Delhi,wireless,Videocon,,
2016,January,Gujarat,wireless,Videocon,974576,
2016,January,Haryana,wireless,Videocon,2202665,
2016,January,Himachal Pradesh,wireless,Videocon,,
2016,January,Jammu and Kashmir,wireless,Videocon,,
2016,January,Karnataka,wireless,Videocon,,
2016,January,Kerala,wireless,Videocon,,
2016,January,Kolkata,wireless,Videocon,,
2016,January,Madhya Pradesh,wireless,Videocon,3513361,
2016,January,Maharashtra,wireless,Videocon,,
2016,January,Mumbai,wireless,Videocon,,
2016,January,North East,wireless,Videocon,,
2016,January,Odisha,wireless,Videocon,,
2016,January,Punjab,wireless,Videocon,,
2016,January,Rajasthan,wireless,Videocon,,
2016,January,Tamil Nadu (including Chennai),wireless,Videocon,,
2016,January,Uttar Pradesh (East),wireless,Videocon,15417,
2016,January,Uttar Pradesh (West),wireless,Videocon,22913,
2016,January,West Bengal,wireless,Videocon,,
2016,January,All India,wireless,Videocon,6750284,
2016,January,Andhra Pradesh,wireless,Quadrant,,
2016,January,Assam,wireless,Quadrant,,
2016,January,Bihar,wireless,Quadrant,,
2016,January,Delhi,wireless,Quadrant,,
2016,January,Gujarat,wireless,Quadrant,,
2016,January,Haryana,wireless,Quadrant,,
2016,January,Himachal Pradesh,wireless,Quadrant,,
2016,January,Jammu and Kashmir,wireless,Quadrant,,
2016,January,Karnataka,wireless,Quadrant,,
2016,January,Kerala,wireless,Quadrant,,
2016,January,Kolkata,wireless,Quadrant,,
2016,January,Madhya Pradesh,wireless,Quadrant,,
2016,January,Maharashtra,wireless,Quadrant,,
2016,January,Mumbai,wireless,Quadrant,,
2016,January,North East,wireless,Quadrant,,
2016,January,Odisha,wireless,Quadrant,,
2016,January,Punjab,wireless,Quadrant,3097712,
2016,January,Rajasthan,wireless,Quadrant,,
2016,January,Tamil Nadu (including Chennai),wireless,Quadrant,,
2016,January,Uttar Pradesh (East),wireless,Quadrant,,
2016,January,Uttar Pradesh (West),wireless,Quadrant,,
2016,January,West Bengal,wireless,Quadrant,,
2016,January,All India,wireless,Quadrant,3097712,
2015,December,Andhra Pradesh,wireless,Bharti Airtel,23227059,
2015,December,Assam,wireless,Bharti Airtel,5683518,
2015,December,Bihar,wireless,Bharti Airtel,26927312,
2015,December,Delhi,wireless,Bharti Airtel,11222985,
2015,December,Gujarat,wireless,Bharti Airtel,8272527,
2015,December,Haryana,wireless,Bharti Airtel,2856230,
2015,December,Himachal Pradesh,wireless,Bharti Airtel,2722881,
2015,December,Jammu and Kashmir,wireless,Bharti Airtel,3348374,
2015,December,Karnataka,wireless,Bharti Airtel,20840739,
2015,December,Kerala,wireless,Bharti Airtel,4267406,
2015,December,Kolkata,wireless,Bharti Airtel,4452322,
2015,December,Madhya Pradesh,wireless,Bharti Airtel,12111570,
2015,December,Maharashtra,wireless,Bharti Airtel,12687714,
2015,December,Mumbai,wireless,Bharti Airtel,5564834,
2015,December,North East,wireless,Bharti Airtel,3818049,
2015,December,Odisha,wireless,Bharti Airtel,9703785,
2015,December,Punjab,wireless,Bharti Airtel,7936063,
2015,December,Rajasthan,wireless,Bharti Airtel,18897726,
2015,December,Tamil Nadu (including Chennai),wireless,Bharti Airtel,16829940,
2015,December,Uttar Pradesh (East),wireless,Bharti Airtel,19988762,
2015,December,Uttar Pradesh (West),wireless,Bharti Airtel,7966851,
2015,December,West Bengal,wireless,Bharti Airtel,13962757,
2015,December,All India,wireless,Bharti Airtel,243289404,
2015,December,Andhra Pradesh,wireless,Reliance Communications,5443839,
2015,December,Assam,wireless,Reliance Communications,1361181,
2015,December,Bihar,wireless,Reliance Communications,4959715,
2015,December,Delhi,wireless,Reliance Communications,8476557,
2015,December,Gujarat,wireless,Reliance Communications,5208676,
2015,December,Haryana,wireless,Reliance Communications,2035193,
2015,December,Himachal Pradesh,wireless,Reliance Communications,1753106,
2015,December,Jammu and Kashmir,wireless,Reliance Communications,849831,
2015,December,Karnataka,wireless,Reliance Communications,5722224,
2015,December,Kerala,wireless,Reliance Communications,2142229,
2015,December,Kolkata,wireless,Reliance Communications,4453591,
2015,December,Madhya Pradesh,wireless,Reliance Communications,12629078,
2015,December,Maharashtra,wireless,Reliance Communications,5365998,
2015,December,Mumbai,wireless,Reliance Communications,5646175,
2015,December,North East,wireless,Reliance Communications,326467,
2015,December,Odisha,wireless,Reliance Communications,1784278,
2015,December,Punjab,wireless,Reliance Communications,1593474,
2015,December,Rajasthan,wireless,Reliance Communications,6865064,
2015,December,Tamil Nadu (including Chennai),wireless,Reliance Communications,6570587,
2015,December,Uttar Pradesh (East),wireless,Reliance Communications,8824862,
2015,December,Uttar Pradesh (West),wireless,Reliance Communications,5678051,
2015,December,West Bengal,wireless,Reliance Communications,3200255,
2015,December,All India,wireless,Reliance Communications,100890431,
2015,December,Andhra Pradesh,wireless,Vodafone,7162882,
2015,December,Assam,wireless,Vodafone,3448664,
2015,December,Bihar,wireless,Vodafone,9295680,
2015,December,Delhi,wireless,Vodafone,10049752,
2015,December,Gujarat,wireless,Vodafone,19219078,
2015,December,Haryana,wireless,Vodafone,5356970,
2015,December,Himachal Pradesh,wireless,Vodafone,694948,
2015,December,Jammu and Kashmir,wireless,Vodafone,1048029,
2015,December,Karnataka,wireless,Vodafone,7680807,
2015,December,Kerala,wireless,Vodafone,7481599,
2015,December,Kolkata,wireless,Vodafone,5262820,
2015,December,Madhya Pradesh,wireless,Vodafone,6692882,
2015,December,Maharashtra,wireless,Vodafone,18058780,
2015,December,Mumbai,wireless,Vodafone,8612645,
2015,December,North East,wireless,Vodafone,1487135,
2015,December,Odisha,wireless,Vodafone,3879819,
2015,December,Punjab,wireless,Vodafone,5082701,
2015,December,Rajasthan,wireless,Vodafone,11707557,
