year,month,circle,type_of_connection,service_provider,value,unit,notes
2021,August,Maharashtra,wireless,BSNL,6614804,value in absolute number,
2021,August,Mumbai,wireless,BSNL,,value in absolute number,
2021,August,North East,wireless,BSNL,1358947,value in absolute number,
2021,August,Odisha,wireless,BSNL,6387974,value in absolute number,
2021,August,Punjab,wireless,BSNL,5345093,value in absolute number,
2021,August,Rajasthan,wireless,BSNL,5972642,value in absolute number,
2021,August,Tamil Nadu,wireless,BSNL,10685173,value in absolute number,
2021,August,Uttar Pradesh (East),wireless,BSNL,11138641,value in absolute number,
2021,August,Uttar Pradesh (West),wireless,BSNL,5696082,value in absolute number,
2021,August,West Bengal,wireless,BSNL,2554709,value in absolute number,
2021,August,All India,wireless,BSNL,114270216,value in absolute number,
2021,August,Andhra Pradesh,wireless,BSNL (VNOs),,value in absolute number,
2021,August,Assam,wireless,BSNL (VNOs),,value in absolute number,
2021,August,Bihar,wireless,BSNL (VNOs),,value in absolute number,
2021,August,Delhi,wireless,BSNL (VNOs),,value in absolute number,
2021,August,Gujarat,wireless,BSNL (VNOs),,value in absolute number,
2021,August,Haryana,wireless,BSNL (VNOs),,value in absolute number,
2021,August,Himachal Pradesh,wireless,BSNL (VNOs),,value in absolute number,
2021,August,Jammu and Kashmir,wireless,BSNL (VNOs),,value in absolute number,
2021,August,Karnataka,wireless,BSNL (VNOs),,value in absolute number,
2021,August,Kerala,wireless,BSNL (VNOs),,value in absolute number,
2021,August,Kolkata,wireless,BSNL (VNOs),,value in absolute number,
2021,August,Madhya Pradesh,wireless,BSNL (VNOs),,value in absolute number,
2021,August,Maharashtra,wireless,BSNL (VNOs),,value in absolute number,
2021,August,Mumbai,wireless,BSNL (VNOs),,value in absolute number,
2021,August,North East,wireless,BSNL (VNOs),,value in absolute number,
2021,August,Odisha,wireless,BSNL (VNOs),,value in absolute number,
2021,August,Punjab,wireless,BSNL (VNOs),,value in absolute number,
2021,August,Rajasthan,wireless,BSNL (VNOs),,value in absolute number,
2021,August,Tamil Nadu,wireless,BSNL (VNOs),52947,value in absolute number,
2021,August,Uttar Pradesh (East),wireless,BSNL (VNOs),,value in absolute number,
2021,August,Uttar Pradesh (West),wireless,BSNL (VNOs),,value in absolute number,
2021,August,West Bengal,wireless,BSNL (VNOs),,value in absolute number,
2021,August,All India,wireless,BSNL (VNOs),52947,value in absolute number,
2021,August,Andhra Pradesh,wireless,MTNL,,value in absolute number,
2021,August,Assam,wireless,MTNL,,value in absolute number,
2021,August,Bihar,wireless,MTNL,,value in absolute number,
2021,August,Delhi,wireless,MTNL,2156829,value in absolute number,
2021,August,Gujarat,wireless,MTNL,,value in absolute number,
2021,August,Haryana,wireless,MTNL,,value in absolute number,
2021,August,Himachal Pradesh,wireless,MTNL,,value in absolute number,
2021,August,Jammu and Kashmir,wireless,MTNL,,value in absolute number,
2021,August,Karnataka,wireless,MTNL,,value in absolute number,
2021,August,Kerala,wireless,MTNL,,value in absolute number,
2021,August,Kolkata,wireless,MTNL,,value in absolute number,
