year,month,circle,type_of_connection,service_provider,value,unit,notes
2021,August,Madhya Pradesh,wireless,MTNL,,value in absolute number,
2021,August,Maharashtra,wireless,MTNL,,value in absolute number,
2021,August,Mumbai,wireless,MTNL,1117381,value in absolute number,
2021,August,North East,wireless,MTNL,,value in absolute number,
2021,August,Odisha,wireless,MTNL,,value in absolute number,
2021,August,Punjab,wireless,MTNL,,value in absolute number,
2021,August,Rajasthan,wireless,MTNL,,value in absolute number,
2021,August,Tamil Nadu,wireless,MTNL,,value in absolute number,
2021,August,Uttar Pradesh (East),wireless,MTNL,,value in absolute number,
2021,August,Uttar Pradesh (West),wireless,MTNL,,value in absolute number,
2021,August,West Bengal,wireless,MTNL,,value in absolute number,
2021,August,All India,wireless,MTNL,3274210,value in absolute number,
2021,August,Andhra Pradesh,wireless,Reliance Jio,32509911,value in absolute number,
2021,August,Assam,wireless,Reliance Jio,9647154,value in absolute number,
2021,August,Bihar,wireless,Reliance Jio,34082403,value in absolute number,
2021,August,Delhi,wireless,Reliance Jio,20370041,value in absolute number,
2021,August,Gujarat,wireless,Reliance Jio,27961726,value in absolute number,
2021,August,Haryana,wireless,Reliance Jio,9605082,value in absolute number,
2021,August,Himachal Pradesh,wireless,Reliance Jio,4337880,value in absolute number,
2021,August,Jammu and Kashmir,wireless,Reliance Jio,4703972,value in absolute number,
2021,August,Karnataka,wireless,Reliance Jio,22137644,value in absolute number,
2021,August,Kerala,wireless,Reliance Jio,10988173,value in absolute number,
2021,August,Kolkata,wireless,Reliance Jio,11703505,value in absolute number,
2021,August,Madhya Pradesh,wireless,Reliance Jio,36738811,value in absolute number,
2021,August,Maharashtra,wireless,Reliance Jio,38410784,value in absolute number,
2021,August,Mumbai,wireless,Reliance Jio,15525900,value in absolute number,
2021,August,North East,wireless,Reliance Jio,4455087,value in absolute number,
2021,August,Odisha,wireless,Reliance Jio,15344861,value in absolute number,
2021,August,Punjab,wireless,Reliance Jio,13739361,value in absolute number,
2021,August,Rajasthan,wireless,Reliance Jio,26168784,value in absolute number,
2021,August,Tamil Nadu,wireless,Reliance Jio,26405720,value in absolute number,
2021,August,Uttar Pradesh (East),wireless,Reliance Jio,33838226,value in absolute number,
2021,August,Uttar Pradesh (West),wireless,Reliance Jio,21923694,value in absolute number,
2021,August,West Bengal,wireless,Reliance Jio,23262525,value in absolute number,
2021,August,All India,wireless,Reliance Jio,443861244,value in absolute number,
2021,July,Andhra Pradesh,wireless,Bharti Airtel,31194757,value in absolute number,
2021,July,Assam,wireless,Bharti Airtel,9536464,value in absolute number,
2021,July,Bihar,wireless,Bharti Airtel,36548063,value in absolute number,
2021,July,Delhi,wireless,Bharti Airtel,15845703,value in absolute number,
2021,July,Gujarat,wireless,Bharti Airtel,12079135,value in absolute number,
2021,July,Haryana,wireless,Bharti Airtel,5620344,value in absolute number,
2021,July,Himachal Pradesh,wireless,Bharti Airtel,3296585,value in absolute number,
2021,July,Jammu and Kashmir,wireless,Bharti Airtel,5472230,value in absolute number,
2021,July,Karnataka,wireless,Bharti Airtel,30034027,value in absolute number,
2021,July,Kerala,wireless,Bharti Airtel,7116902,value in absolute number,
2021,July,Kolkata,wireless,Bharti Airtel,5678490,value in absolute number,
2021,July,Madhya Pradesh,wireless,Bharti Airtel,15523928,value in absolute number,
2021,July,Maharashtra,wireless,Bharti Airtel,19853414,value in absolute number,
2021,July,Mumbai,wireless,Bharti Airtel,9461983,value in absolute number,
2021,July,North East,wireless,Bharti Airtel,5383492,value in absolute number,
2021,July,Odisha,wireless,Bharti Airtel,11176558,value in absolute number,
2021,July,Punjab,wireless,Bharti Airtel,11453379,value in absolute number,
2021,July,Rajasthan,wireless,Bharti Airtel,21745308,value in absolute number,
2021,July,Tamil Nadu,wireless,Bharti Airtel,27124804,value in absolute number,
2021,July,Uttar Pradesh (East),wireless,Bharti Airtel,36612905,value in absolute number,
2021,July,Uttar Pradesh (West),wireless,Bharti Airtel,17847212,value in absolute number,
2021,July,West Bengal,wireless,Bharti Airtel,15447332,value in absolute number,
2021,July,All India,wireless,Bharti Airtel,354053015,value in absolute number,
2021,July,Andhra Pradesh,wireless,Reliance Communications,,value in absolute number,
2021,July,Assam,wireless,Reliance Communications,,value in absolute number,
2021,July,Bihar,wireless,Reliance Communications,,value in absolute number,
2021,July,Delhi,wireless,Reliance Communications,408,value in absolute number,
2021,July,Gujarat,wireless,Reliance Communications,167,value in absolute number,
2021,July,Haryana,wireless,Reliance Communications,63,value in absolute number,
2021,July,Himachal Pradesh,wireless,Reliance Communications,95,value in absolute number,
2021,July,Jammu and Kashmir,wireless,Reliance Communications,0,value in absolute number,
2021,July,Karnataka,wireless,Reliance Communications,1505,value in absolute number,
2021,July,Kerala,wireless,Reliance Communications,386,value in absolute number,
2021,July,Kolkata,wireless,Reliance Communications,23,value in absolute number,
2021,July,Madhya Pradesh,wireless,Reliance Communications,0,value in absolute number,
2021,July,Maharashtra,wireless,Reliance Communications,0,value in absolute number,
2021,July,Mumbai,wireless,Reliance Communications,2296,value in absolute number,
2021,July,North East,wireless,Reliance Communications,0,value in absolute number,
2021,July,Odisha,wireless,Reliance Communications,163,value in absolute number,
2021,July,Punjab,wireless,Reliance Communications,293,value in absolute number,
2021,July,Rajasthan,wireless,Reliance Communications,269,value in absolute number,
2021,July,Tamil Nadu,wireless,Reliance Communications,520,value in absolute number,
2021,July,Uttar Pradesh (East),wireless,Reliance Communications,0,value in absolute number,
2021,July,Uttar Pradesh (West),wireless,Reliance Communications,194,value in absolute number,
2021,July,West Bengal,wireless,Reliance Communications,825,value in absolute number,
2021,July,All India,wireless,Reliance Communications,7207,value in absolute number,
2021,July,Andhra Pradesh,wireless,Vodafone Idea,14956508,value in absolute number,
2021,July,Assam,wireless,Vodafone Idea,2984940,value in absolute number,
2021,July,Bihar,wireless,Vodafone Idea,11140519,value in absolute number,
2021,July,Delhi,wireless,Vodafone Idea,15974356,value in absolute number,
2021,July,Gujarat,wireless,Vodafone Idea,24630448,value in absolute number,
2021,July,Haryana,wireless,Vodafone Idea,8085459,value in absolute number,
2021,July,Himachal Pradesh,wireless,Vodafone Idea,619651,value in absolute number,
2021,July,Jammu and Kashmir,wireless,Vodafone Idea,466086,value in absolute number,
2021,July,Karnataka,wireless,Vodafone Idea,8537545,value in absolute number,
2021,July,Kerala,wireless,Vodafone Idea,16517307,value in absolute number,
2021,July,Kolkata,wireless,Vodafone Idea,6483832,value in absolute number,
2021,July,Madhya Pradesh,wireless,Vodafone Idea,20849927,value in absolute number,
2021,July,Maharashtra,wireless,Vodafone Idea,30300652,value in absolute number,
2021,July,Mumbai,wireless,Vodafone Idea,11378699,value in absolute number,
2021,July,North East,wireless,Vodafone Idea,1302005,value in absolute number,
2021,July,Odisha,wireless,Vodafone Idea,2125221,value in absolute number,
2021,July,Punjab,wireless,Vodafone Idea,8558314,value in absolute number,
2021,July,Rajasthan,wireless,Vodafone Idea,11681290,value in absolute number,
2021,July,Tamil Nadu,wireless,Vodafone Idea,18463671,value in absolute number,
2021,July,Uttar Pradesh (East),wireless,Vodafone Idea,21207994,value in absolute number,
2021,July,Uttar Pradesh (West),wireless,Vodafone Idea,19201671,value in absolute number,
2021,July,West Bengal,wireless,Vodafone Idea,16435586,value in absolute number,
2021,July,All India,wireless,Vodafone Idea,271901681,value in absolute number,
2021,July,Andhra Pradesh,wireless,BSNL,9008391,value in absolute number,
2021,July,Assam,wireless,BSNL,3074693,value in absolute number,
2021,July,Bihar,wireless,BSNL,5599488,value in absolute number,
2021,July,Delhi,wireless,BSNL,,value in absolute number,
2021,July,Gujarat,wireless,BSNL,5741484,value in absolute number,
2021,July,Haryana,wireless,BSNL,4959557,value in absolute number,
2021,July,Himachal Pradesh,wireless,BSNL,2680561,value in absolute number,
2021,July,Jammu and Kashmir,wireless,BSNL,1277729,value in absolute number,
2021,July,Karnataka,wireless,BSNL,7034516,value in absolute number,
2021,July,Kerala,wireless,BSNL,10837006,value in absolute number,
2021,July,Kolkata,wireless,BSNL,2325155,value in absolute number,
2021,July,Madhya Pradesh,wireless,BSNL,6038365,value in absolute number,
2021,July,Maharashtra,wireless,BSNL,6667731,value in absolute number,
2021,July,Mumbai,wireless,BSNL,,value in absolute number,
2021,July,North East,wireless,BSNL,1374861,value in absolute number,
2021,July,Odisha,wireless,BSNL,6429442,value in absolute number,
2021,July,Punjab,wireless,BSNL,5388587,value in absolute number,
2021,July,Rajasthan,wireless,BSNL,5992521,value in absolute number,
2021,July,Tamil Nadu,wireless,BSNL,10540408,value in absolute number,
2021,July,Uttar Pradesh (East),wireless,BSNL,11127179,value in absolute number,
2021,July,Uttar Pradesh (West),wireless,BSNL,5694165,value in absolute number,
2021,July,West Bengal,wireless,BSNL,2540155,value in absolute number,
2021,July,All India,wireless,BSNL,114331994,value in absolute number,
2021,July,Andhra Pradesh,wireless,BSNL (VNOs),,value in absolute number,
2021,July,Assam,wireless,BSNL (VNOs),,value in absolute number,
2021,July,Bihar,wireless,BSNL (VNOs),,value in absolute number,
2021,July,Delhi,wireless,BSNL (VNOs),,value in absolute number,
2021,July,Gujarat,wireless,BSNL (VNOs),,value in absolute number,
2021,July,Haryana,wireless,BSNL (VNOs),,value in absolute number,
2021,July,Himachal Pradesh,wireless,BSNL (VNOs),,value in absolute number,
2021,July,Jammu and Kashmir,wireless,BSNL (VNOs),,value in absolute number,
2021,July,Karnataka,wireless,BSNL (VNOs),,value in absolute number,
2021,July,Kerala,wireless,BSNL (VNOs),,value in absolute number,
2021,July,Kolkata,wireless,BSNL (VNOs),,value in absolute number,
2021,July,Madhya Pradesh,wireless,BSNL (VNOs),,value in absolute number,
2021,July,Maharashtra,wireless,BSNL (VNOs),,value in absolute number,
2021,July,Mumbai,wireless,BSNL (VNOs),,value in absolute number,
2021,July,North East,wireless,BSNL (VNOs),,value in absolute number,
2021,July,Odisha,wireless,BSNL (VNOs),,value in absolute number,
2021,July,Punjab,wireless,BSNL (VNOs),,value in absolute number,
2021,July,Rajasthan,wireless,BSNL (VNOs),,value in absolute number,
2021,July,Tamil Nadu,wireless,BSNL (VNOs),51608,value in absolute number,
2021,July,Uttar Pradesh (East),wireless,BSNL (VNOs),,value in absolute number,
2021,July,Uttar Pradesh (West),wireless,BSNL (VNOs),,value in absolute number,
2021,July,West Bengal,wireless,BSNL (VNOs),,value in absolute number,
2021,July,All India,wireless,BSNL (VNOs),51608,value in absolute number,
2021,July,Andhra Pradesh,wireless,MTNL,,value in absolute number,
2021,July,Assam,wireless,MTNL,,value in absolute number,
2021,July,Bihar,wireless,MTNL,,value in absolute number,
2021,July,Delhi,wireless,MTNL,2157882,value in absolute number,
2021,July,Gujarat,wireless,MTNL,,value in absolute number,
2021,July,Haryana,wireless,MTNL,,value in absolute number,
2021,July,Himachal Pradesh,wireless,MTNL,,value in absolute number,
2021,July,Jammu and Kashmir,wireless,MTNL,,value in absolute number,
2021,July,Karnataka,wireless,MTNL,,value in absolute number,
2021,July,Kerala,wireless,MTNL,,value in absolute number,
2021,July,Kolkata,wireless,MTNL,,value in absolute number,
2021,July,Madhya Pradesh,wireless,MTNL,,value in absolute number,
2021,July,Maharashtra,wireless,MTNL,,value in absolute number,
2021,July,Mumbai,wireless,MTNL,1122218,value in absolute number,
2021,July,North East,wireless,MTNL,,value in absolute number,
2021,July,Odisha,wireless,MTNL,,value in absolute number,
2021,July,Punjab,wireless,MTNL,,value in absolute number,
2021,July,Rajasthan,wireless,MTNL,,value in absolute number,
2021,July,Tamil Nadu,wireless,MTNL,,value in absolute number,
2021,July,Uttar Pradesh (East),wireless,MTNL,,value in absolute number,
2021,July,Uttar Pradesh (West),wireless,MTNL,,value in absolute number,
2021,July,West Bengal,wireless,MTNL,,value in absolute number,
2021,July,All India,wireless,MTNL,3280100,value in absolute number,
2021,July,Andhra Pradesh,wireless,Reliance Jio,32486949,value in absolute number,
2021,July,Assam,wireless,Reliance Jio,9652767,value in absolute number,
2021,July,Bihar,wireless,Reliance Jio,34056245,value in absolute number,
2021,July,Delhi,wireless,Reliance Jio,20346740,value in absolute number,
2021,July,Gujarat,wireless,Reliance Jio,27924732,value in absolute number,
2021,July,Haryana,wireless,Reliance Jio,9565477,value in absolute number,
2021,July,Himachal Pradesh,wireless,Reliance Jio,4312370,value in absolute number,
2021,July,Jammu and Kashmir,wireless,Reliance Jio,4707819,value in absolute number,
2021,July,Karnataka,wireless,Reliance Jio,22100924,value in absolute number,
2021,July,Kerala,wireless,Reliance Jio,10953447,value in absolute number,
2021,July,Kolkata,wireless,Reliance Jio,11683804,value in absolute number,
2021,July,Madhya Pradesh,wireless,Reliance Jio,36694297,value in absolute number,
2021,July,Maharashtra,wireless,Reliance Jio,38373765,value in absolute number,
2021,July,Mumbai,wireless,Reliance Jio,15500694,value in absolute number,
2021,July,North East,wireless,Reliance Jio,4422734,value in absolute number,
2021,July,Odisha,wireless,Reliance Jio,15314872,value in absolute number,
2021,July,Punjab,wireless,Reliance Jio,13708776,value in absolute number,
2021,July,Rajasthan,wireless,Reliance Jio,26171099,value in absolute number,
2021,July,Tamil Nadu,wireless,Reliance Jio,26371259,value in absolute number,
2021,July,Uttar Pradesh (East),wireless,Reliance Jio,33785361,value in absolute number,
2021,July,Uttar Pradesh (West),wireless,Reliance Jio,21885956,value in absolute number,
2021,July,West Bengal,wireless,Reliance Jio,23191403,value in absolute number,
2021,July,All India,wireless,Reliance Jio,443211490,value in absolute number,
2021,June,Andhra Pradesh,wireless,Bharti Airtel,31207814,value in absolute number,
2021,June,Assam,wireless,Bharti Airtel,9396665,value in absolute number,
2021,June,Bihar,wireless,Bharti Airtel,36148989,value in absolute number,
2021,June,Delhi,wireless,Bharti Airtel,16216300,value in absolute number,
2021,June,Gujarat,wireless,Bharti Airtel,12109206,value in absolute number,
2021,June,Haryana,wireless,Bharti Airtel,5563549,value in absolute number,
2021,June,Himachal Pradesh,wireless,Bharti Airtel,3289031,value in absolute number,
2021,June,Jammu and Kashmir,wireless,Bharti Airtel,5503692,value in absolute number,
2021,June,Karnataka,wireless,Bharti Airtel,30184161,value in absolute number,
2021,June,Kerala,wireless,Bharti Airtel,6838692,value in absolute number,
2021,June,Kolkata,wireless,Bharti Airtel,5774553,value in absolute number,
2021,June,Madhya Pradesh,wireless,Bharti Airtel,15407691,value in absolute number,
2021,June,Maharashtra,wireless,Bharti Airtel,19373348,value in absolute number,
2021,June,Mumbai,wireless,Bharti Airtel,9609501,value in absolute number,
2021,June,North East,wireless,Bharti Airtel,5415783,value in absolute number,
2021,June,Odisha,wireless,Bharti Airtel,11160980,value in absolute number,
2021,June,Punjab,wireless,Bharti Airtel,11518485,value in absolute number,
2021,June,Rajasthan,wireless,Bharti Airtel,21740227,value in absolute number,
2021,June,Tamil Nadu,wireless,Bharti Airtel,27217937,value in absolute number,
2021,June,Uttar Pradesh (East),wireless,Bharti Airtel,35771527,value in absolute number,
2021,June,Uttar Pradesh (West),wireless,Bharti Airtel,17319169,value in absolute number,
2021,June,West Bengal,wireless,Bharti Airtel,15342722,value in absolute number,
2021,June,All India,wireless,Bharti Airtel,352110022,value in absolute number,
2021,June,Andhra Pradesh,wireless,Reliance Communications,936,value in absolute number,
2021,June,Assam,wireless,Reliance Communications,,value in absolute number,
2021,June,Bihar,wireless,Reliance Communications,145,value in absolute number,
2021,June,Delhi,wireless,Reliance Communications,440,value in absolute number,
2021,June,Gujarat,wireless,Reliance Communications,189,value in absolute number,
2021,June,Haryana,wireless,Reliance Communications,71,value in absolute number,
2021,June,Himachal Pradesh,wireless,Reliance Communications,96,value in absolute number,
2021,June,Jammu and Kashmir,wireless,Reliance Communications,0,value in absolute number,
2021,June,Karnataka,wireless,Reliance Communications,1739,value in absolute number,
2021,June,Kerala,wireless,Reliance Communications,430,value in absolute number,
2021,June,Kolkata,wireless,Reliance Communications,27,value in absolute number,
2021,June,Madhya Pradesh,wireless,Reliance Communications,270,value in absolute number,
2021,June,Maharashtra,wireless,Reliance Communications,320,value in absolute number,
2021,June,Mumbai,wireless,Reliance Communications,1962,value in absolute number,
2021,June,North East,wireless,Reliance Communications,0,value in absolute number,
2021,June,Odisha,wireless,Reliance Communications,191,value in absolute number,
2021,June,Punjab,wireless,Reliance Communications,335,value in absolute number,
2021,June,Rajasthan,wireless,Reliance Communications,284,value in absolute number,
2021,June,Tamil Nadu,wireless,Reliance Communications,610,value in absolute number,
2021,June,Uttar Pradesh (East),wireless,Reliance Communications,297,value in absolute number,
2021,June,Uttar Pradesh (West),wireless,Reliance Communications,227,value in absolute number,
2021,June,West Bengal,wireless,Reliance Communications,910,value in absolute number,
2021,June,All India,wireless,Reliance Communications,9479,value in absolute number,
2021,June,Andhra Pradesh,wireless,Vodafone Idea,15084844,value in absolute number,
2021,June,Assam,wireless,Vodafone Idea,3060431,value in absolute number,
2021,June,Bihar,wireless,Vodafone Idea,11303641,value in absolute number,
2021,June,Delhi,wireless,Vodafone Idea,15925885,value in absolute number,
2021,June,Gujarat,wireless,Vodafone Idea,24784722,value in absolute number,
2021,June,Haryana,wireless,Vodafone Idea,8085635,value in absolute number,
2021,June,Himachal Pradesh,wireless,Vodafone Idea,631358,value in absolute number,
2021,June,Jammu and Kashmir,wireless,Vodafone Idea,473157,value in absolute number,
2021,June,Karnataka,wireless,Vodafone Idea,8564344,value in absolute number,
2021,June,Kerala,wireless,Vodafone Idea,16732881,value in absolute number,
2021,June,Kolkata,wireless,Vodafone Idea,6535798,value in absolute number,
2021,June,Madhya Pradesh,wireless,Vodafone Idea,20855780,value in absolute number,
2021,June,Maharashtra,wireless,Vodafone Idea,30711593,value in absolute number,
2021,June,Mumbai,wireless,Vodafone Idea,11155817,value in absolute number,
2021,June,North East,wireless,Vodafone Idea,1325196,value in absolute number,
2021,June,Odisha,wireless,Vodafone Idea,2189554,value in absolute number,
2021,June,Punjab,wireless,Vodafone Idea,8501752,value in absolute number,
2021,June,Rajasthan,wireless,Vodafone Idea,11776030,value in absolute number,
2021,June,Tamil Nadu,wireless,Vodafone Idea,18652929,value in absolute number,
2021,June,Uttar Pradesh (East),wireless,Vodafone Idea,21345731,value in absolute number,
2021,June,Uttar Pradesh (West),wireless,Vodafone Idea,19084492,value in absolute number,
2021,June,West Bengal,wireless,Vodafone Idea,16550356,value in absolute number,
2021,June,All India,wireless,Vodafone Idea,273331926,value in absolute number,
2021,June,Andhra Pradesh,wireless,BSNL,9140635,value in absolute number,
2021,June,Assam,wireless,BSNL,3065743,value in absolute number,
2021,June,Bihar,wireless,BSNL,5645664,value in absolute number,
2021,June,Delhi,wireless,BSNL,,value in absolute number,
2021,June,Gujarat,wireless,BSNL,5767026,value in absolute number,
2021,June,Haryana,wireless,BSNL,4981792,value in absolute number,
2021,June,Himachal Pradesh,wireless,BSNL,2683988,value in absolute number,
2021,June,Jammu and Kashmir,wireless,BSNL,1269448,value in absolute number,
2021,June,Karnataka,wireless,BSNL,7145249,value in absolute number,
2021,June,Kerala,wireless,BSNL,10838814,value in absolute number,
2021,June,Kolkata,wireless,BSNL,2404595,value in absolute number,
2021,June,Madhya Pradesh,wireless,BSNL,6108851,value in absolute number,
2021,June,Maharashtra,wireless,BSNL,6748783,value in absolute number,
2021,June,Mumbai,wireless,BSNL,,value in absolute number,
2021,June,North East,wireless,BSNL,1367453,value in absolute number,
2021,June,Odisha,wireless,BSNL,6421333,value in absolute number,
2021,June,Punjab,wireless,BSNL,5425005,value in absolute number,
2021,June,Rajasthan,wireless,BSNL,6051660,value in absolute number,
2021,June,Tamil Nadu,wireless,BSNL,10789760,value in absolute number,
2021,June,Uttar Pradesh (East),wireless,BSNL,11204795,value in absolute number,
2021,June,Uttar Pradesh (West),wireless,BSNL,5748559,value in absolute number,
2021,June,West Bengal,wireless,BSNL,2541042,value in absolute number,
2021,June,All India,wireless,BSNL,115350195,value in absolute number,
2021,June,Andhra Pradesh,wireless,BSNL (VNOs),,value in absolute number,
2021,June,Assam,wireless,BSNL (VNOs),,value in absolute number,
2021,June,Bihar,wireless,BSNL (VNOs),,value in absolute number,
2021,June,Delhi,wireless,BSNL (VNOs),,value in absolute number,
2021,June,Gujarat,wireless,BSNL (VNOs),,value in absolute number,
2021,June,Haryana,wireless,BSNL (VNOs),,value in absolute number,
2021,June,Himachal Pradesh,wireless,BSNL (VNOs),,value in absolute number,
2021,June,Jammu and Kashmir,wireless,BSNL (VNOs),,value in absolute number,
2021,June,Karnataka,wireless,BSNL (VNOs),,value in absolute number,
2021,June,Kerala,wireless,BSNL (VNOs),,value in absolute number,
2021,June,Kolkata,wireless,BSNL (VNOs),,value in absolute number,
2021,June,Madhya Pradesh,wireless,BSNL (VNOs),,value in absolute number,
2021,June,Maharashtra,wireless,BSNL (VNOs),,value in absolute number,
2021,June,Mumbai,wireless,BSNL (VNOs),,value in absolute number,
2021,June,North East,wireless,BSNL (VNOs),,value in absolute number,
2021,June,Odisha,wireless,BSNL (VNOs),,value in absolute number,
2021,June,Punjab,wireless,BSNL (VNOs),,value in absolute number,
2021,June,Rajasthan,wireless,BSNL (VNOs),,value in absolute number,
2021,June,Tamil Nadu,wireless,BSNL (VNOs),51076,value in absolute number,
2021,June,Uttar Pradesh (East),wireless,BSNL (VNOs),,value in absolute number,
2021,June,Uttar Pradesh (West),wireless,BSNL (VNOs),,value in absolute number,
2021,June,West Bengal,wireless,BSNL (VNOs),,value in absolute number,
2021,June,All India,wireless,BSNL (VNOs),51076,value in absolute number,
2021,June,Andhra Pradesh,wireless,MTNL,,value in absolute number,
2021,June,Assam,wireless,MTNL,,value in absolute number,
2021,June,Bihar,wireless,MTNL,,value in absolute number,
2021,June,Delhi,wireless,MTNL,2159136,value in absolute number,
2021,June,Gujarat,wireless,MTNL,,value in absolute number,
2021,June,Haryana,wireless,MTNL,,value in absolute number,
2021,June,Himachal Pradesh,wireless,MTNL,,value in absolute number,
2021,June,Jammu and Kashmir,wireless,MTNL,,value in absolute number,
2021,June,Karnataka,wireless,MTNL,,value in absolute number,
2021,June,Kerala,wireless,MTNL,,value in absolute number,
2021,June,Kolkata,wireless,MTNL,,value in absolute number,
2021,June,Madhya Pradesh,wireless,MTNL,,value in absolute number,
2021,June,Maharashtra,wireless,MTNL,,value in absolute number,
2021,June,Mumbai,wireless,MTNL,1126838,value in absolute number,
2021,June,North East,wireless,MTNL,,value in absolute number,
2021,June,Odisha,wireless,MTNL,,value in absolute number,
2021,June,Punjab,wireless,MTNL,,value in absolute number,
2021,June,Rajasthan,wireless,MTNL,,value in absolute number,
2021,June,Tamil Nadu,wireless,MTNL,,value in absolute number,
2021,June,Uttar Pradesh (East),wireless,MTNL,,value in absolute number,
2021,June,Uttar Pradesh (West),wireless,MTNL,,value in absolute number,
2021,June,West Bengal,wireless,MTNL,,value in absolute number,
2021,June,All India,wireless,MTNL,3285974,value in absolute number,
2021,June,Andhra Pradesh,wireless,Reliance Jio,32245396,value in absolute number,
2021,June,Assam,wireless,Reliance Jio,9538264,value in absolute number,
2021,June,Bihar,wireless,Reliance Jio,33575643,value in absolute number,
2021,June,Delhi,wireless,Reliance Jio,20132835,value in absolute number,
2021,June,Gujarat,wireless,Reliance Jio,27341384,value in absolute number,
2021,June,Haryana,wireless,Reliance Jio,9409915,value in absolute number,
2021,June,Himachal Pradesh,wireless,Reliance Jio,4250862,value in absolute number,
2021,June,Jammu and Kashmir,wireless,Reliance Jio,4665785,value in absolute number,
2021,June,Karnataka,wireless,Reliance Jio,21921576,value in absolute number,
2021,June,Kerala,wireless,Reliance Jio,10680602,value in absolute number,
2021,June,Kolkata,wireless,Reliance Jio,11551066,value in absolute number,
2021,June,Madhya Pradesh,wireless,Reliance Jio,36109079,value in absolute number,
2021,June,Maharashtra,wireless,Reliance Jio,37793654,value in absolute number,
2021,June,Mumbai,wireless,Reliance Jio,15343634,value in absolute number,
2021,June,North East,wireless,Reliance Jio,4383650,value in absolute number,
2021,June,Odisha,wireless,Reliance Jio,14994892,value in absolute number,
2021,June,Punjab,wireless,Reliance Jio,13452454,value in absolute number,
2021,June,Rajasthan,wireless,Reliance Jio,25984290,value in absolute number,
2021,June,Tamil Nadu,wireless,Reliance Jio,25881565,value in absolute number,
2021,June,Uttar Pradesh (East),wireless,Reliance Jio,33094058,value in absolute number,
2021,June,Uttar Pradesh (West),wireless,Reliance Jio,21641370,value in absolute number,
2021,June,West Bengal,wireless,Reliance Jio,22700730,value in absolute number,
2021,June,All India,wireless,Reliance Jio,436692704,value in absolute number,
2021,May,Andhra Pradesh,wireless,Bharti Airtel,30910121,value in absolute number,
2021,May,Assam,wireless,Bharti Airtel,9255195,value in absolute number,
2021,May,Bihar,wireless,Bharti Airtel,35665088,value in absolute number,
2021,May,Delhi,wireless,Bharti Airtel,16130132,value in absolute number,
