year,month,circle,type_of_connection,service_provider,value,unit,notes
2025,April,North East,wireless,BSNL,1290594,value in absolute number,
2025,April,Odisha,wireless,BSNL,5565278,value in absolute number,
2025,April,Punjab,wireless,BSNL,4082258,value in absolute number,
2025,April,Rajasthan,wireless,BSNL,5626191,value in absolute number,
2025,April,Tamil Nadu,wireless,BSNL,7758526,value in absolute number,
2025,April,Uttar Pradesh (East),wireless,BSNL,8065974,value in absolute number,
2025,April,Uttar Pradesh (West),wireless,BSNL,4979572,value in absolute number,
2025,April,West Bengal,wireless,BSNL,2633080,value in absolute number,
2025,April,All India,wireless,BSNL,90905664,value in absolute number,
2025,April,Andhra Pradesh,wireless,MTNL,,value in absolute number,
2025,April,Assam,wireless,MTNL,,value in absolute number,
2025,April,Bihar,wireless,MTNL,,value in absolute number,
2025,April,Delhi,wireless,MTNL,788984,value in absolute number,
2025,April,Gujarat,wireless,MTNL,,value in absolute number,
2025,April,Haryana,wireless,MTNL,,value in absolute number,
2025,April,Himachal Pradesh,wireless,MTNL,,value in absolute number,
2025,April,Jammu and Kashmir,wireless,MTNL,,value in absolute number,
2025,April,Karnataka,wireless,MTNL,,value in absolute number,
2025,April,Kerala,wireless,MTNL,,value in absolute number,
2025,April,Kolkata,wireless,MTNL,1455425,value in absolute number,
2025,April,Madhya Pradesh,wireless,MTNL,,value in absolute number,
2025,April,Maharashtra,wireless,MTNL,,value in absolute number,
2025,April,Mumbai,wireless,MTNL,141577,value in absolute number,
2025,April,North East,wireless,MTNL,,value in absolute number,
2025,April,Odisha,wireless,MTNL,,value in absolute number,
2025,April,Punjab,wireless,MTNL,,value in absolute number,
2025,April,Rajasthan,wireless,MTNL,,value in absolute number,
2025,April,Tamil Nadu,wireless,MTNL,,value in absolute number,
2025,April,Uttar Pradesh (East),wireless,MTNL,,value in absolute number,
2025,April,Uttar Pradesh (West),wireless,MTNL,,value in absolute number,
2025,April,West Bengal,wireless,MTNL,,value in absolute number,
2025,April,All India,wireless,MTNL,930561,value in absolute number,
2025,April,Andhra Pradesh,wireless,Reliance Jio,31871384,value in absolute number,
2025,April,Assam,wireless,Reliance Jio,9752800,value in absolute number,
2025,April,Bihar,wireless,Reliance Jio,42106190,value in absolute number,
2025,April,Delhi,wireless,Reliance Jio,19892440,value in absolute number,
2025,April,Gujarat,wireless,Reliance Jio,30453865,value in absolute number,
2025,April,Haryana,wireless,Reliance Jio,8333583,value in absolute number,
2025,April,Himachal Pradesh,wireless,Reliance Jio,3230655,value in absolute number,
2025,April,Jammu and Kashmir,wireless,Reliance Jio,4921318,value in absolute number,
2025,April,Karnataka,wireless,Reliance Jio,24907184,value in absolute number,
2025,April,Kerala,wireless,Reliance Jio,10775087,value in absolute number,
2025,April,Kolkata,wireless,Reliance Jio,10767827,value in absolute number,
2025,April,Madhya Pradesh,wireless,Reliance Jio,45566747,value in absolute number,
2025,April,Maharashtra,wireless,Reliance Jio,42699088,value in absolute number,
2025,April,Mumbai,wireless,Reliance Jio,12943992,value in absolute number,
2025,April,North East,wireless,Reliance Jio,4322201,value in absolute number,
2025,April,Odisha,wireless,Reliance Jio,16109743,value in absolute number,
2025,April,Punjab,wireless,Reliance Jio,11396751,value in absolute number,
2025,April,Rajasthan,wireless,Reliance Jio,26522578,value in absolute number,
2025,April,Tamil Nadu,wireless,Reliance Jio,24674009,value in absolute number,
2025,April,Uttar Pradesh (East),wireless,Reliance Jio,42010696,value in absolute number,
2025,April,Uttar Pradesh (West),wireless,Reliance Jio,24576722,value in absolute number,
2025,April,West Bengal,wireless,Reliance Jio,24573830,value in absolute number,
2025,April,All India,wireless,Reliance Jio,472408690,value in absolute number,
2025,March,Andhra Pradesh,wireless,Bharti Airtel (Including Tata Tele.),33923195,value in absolute number,
2025,March,Assam,wireless,Bharti Airtel (Including Tata Tele.),12241287,value in absolute number,
2025,March,Bihar,wireless,Bharti Airtel (Including Tata Tele.),41096191,value in absolute number,
2025,March,Delhi,wireless,Bharti Airtel (Including Tata Tele.),18771602,value in absolute number,
2025,March,Gujarat,wireless,Bharti Airtel (Including Tata Tele.),12359251,value in absolute number,
2025,March,Haryana,wireless,Bharti Airtel (Including Tata Tele.),7245664,value in absolute number,
2025,March,Himachal Pradesh,wireless,Bharti Airtel (Including Tata Tele.),3575615,value in absolute number,
2025,March,Jammu and Kashmir,wireless,Bharti Airtel (Including Tata Tele.),6179009,value in absolute number,
2025,March,Karnataka,wireless,Bharti Airtel (Including Tata Tele.),32306447,value in absolute number,
2025,March,Kerala,wireless,Bharti Airtel (Including Tata Tele.),8915860,value in absolute number,
2025,March,Kolkata,wireless,Bharti Airtel (Including Tata Tele.),5435465,value in absolute number,
2025,March,Madhya Pradesh,wireless,Bharti Airtel (Including Tata Tele.),16642059,value in absolute number,
2025,March,Maharashtra,wireless,Bharti Airtel (Including Tata Tele.),22583417,value in absolute number,
2025,March,Mumbai,wireless,Bharti Airtel (Including Tata Tele.),10124250,value in absolute number,
2025,March,North East,wireless,Bharti Airtel (Including Tata Tele.),6419608,value in absolute number,
2025,March,Odisha,wireless,Bharti Airtel (Including Tata Tele.),11996212,value in absolute number,
2025,March,Punjab,wireless,Bharti Airtel (Including Tata Tele.),12564173,value in absolute number,
2025,March,Rajasthan,wireless,Bharti Airtel (Including Tata Tele.),23434836,value in absolute number,
2025,March,Tamil Nadu,wireless,Bharti Airtel (Including Tata Tele.),30155175,value in absolute number,
2025,March,Uttar Pradesh (East),wireless,Bharti Airtel (Including Tata Tele.),36484630,value in absolute number,
2025,March,Uttar Pradesh (West),wireless,Bharti Airtel (Including Tata Tele.),18885824,value in absolute number,
2025,March,West Bengal,wireless,Bharti Airtel (Including Tata Tele.),18464267,value in absolute number,
2025,March,All India,wireless,Bharti Airtel (Including Tata Tele.),389804037,value in absolute number,
2025,March,Andhra Pradesh,wireless,Reliance Communications,0,value in absolute number,
2025,March,Assam,wireless,Reliance Communications,0,value in absolute number,
2025,March,Bihar,wireless,Reliance Communications,0,value in absolute number,
2025,March,Delhi,wireless,Reliance Communications,1,value in absolute number,
2025,March,Gujarat,wireless,Reliance Communications,1,value in absolute number,
2025,March,Haryana,wireless,Reliance Communications,0,value in absolute number,
2025,March,Himachal Pradesh,wireless,Reliance Communications,0,value in absolute number,
2025,March,Jammu and Kashmir,wireless,Reliance Communications,0,value in absolute number,
2025,March,Karnataka,wireless,Reliance Communications,412,value in absolute number,
2025,March,Kerala,wireless,Reliance Communications,0,value in absolute number,
2025,March,Kolkata,wireless,Reliance Communications,0,value in absolute number,
2025,March,Madhya Pradesh,wireless,Reliance Communications,0,value in absolute number,
2025,March,Maharashtra,wireless,Reliance Communications,0,value in absolute number,
2025,March,Mumbai,wireless,Reliance Communications,56,value in absolute number,
2025,March,North East,wireless,Reliance Communications,0,value in absolute number,
2025,March,Odisha,wireless,Reliance Communications,0,value in absolute number,
2025,March,Punjab,wireless,Reliance Communications,6,value in absolute number,
2025,March,Rajasthan,wireless,Reliance Communications,81,value in absolute number,
2025,March,Tamil Nadu,wireless,Reliance Communications,0,value in absolute number,
2025,March,Uttar Pradesh (East),wireless,Reliance Communications,0,value in absolute number,
2025,March,Uttar Pradesh (West),wireless,Reliance Communications,0,value in absolute number,
2025,March,West Bengal,wireless,Reliance Communications,9,value in absolute number,
2025,March,All India,wireless,Reliance Communications,566,value in absolute number,
2025,March,Andhra Pradesh,wireless,Vodafone Idea,9699287,value in absolute number,
2025,March,Assam,wireless,Vodafone Idea,1420096,value in absolute number,
2025,March,Bihar,wireless,Vodafone Idea,7727548,value in absolute number,
2025,March,Delhi,wireless,Vodafone Idea,16756217,value in absolute number,
2025,March,Gujarat,wireless,Vodafone Idea,19629831,value in absolute number,
2025,March,Haryana,wireless,Vodafone Idea,6365079,value in absolute number,
2025,March,Himachal Pradesh,wireless,Vodafone Idea,379892,value in absolute number,
2025,March,Jammu and Kashmir,wireless,Vodafone Idea,262607,value in absolute number,
2025,March,Karnataka,wireless,Vodafone Idea,6628032,value in absolute number,
2025,March,Kerala,wireless,Vodafone Idea,12920924,value in absolute number,
2025,March,Kolkata,wireless,Vodafone Idea,4851202,value in absolute number,
2025,March,Madhya Pradesh,wireless,Vodafone Idea,13599147,value in absolute number,
2025,March,Maharashtra,wireless,Vodafone Idea,20309525,value in absolute number,
2025,March,Mumbai,wireless,Vodafone Idea,10711200,value in absolute number,
2025,March,North East,wireless,Vodafone Idea,637041,value in absolute number,
2025,March,Odisha,wireless,Vodafone Idea,1397972,value in absolute number,
2025,March,Punjab,wireless,Vodafone Idea,6037566,value in absolute number,
2025,March,Rajasthan,wireless,Vodafone Idea,9173311,value in absolute number,
2025,March,Tamil Nadu,wireless,Vodafone Idea,14731787,value in absolute number,
2025,March,Uttar Pradesh (East),wireless,Vodafone Idea,16128148,value in absolute number,
2025,March,Uttar Pradesh (West),wireless,Vodafone Idea,14371653,value in absolute number,
2025,March,West Bengal,wireless,Vodafone Idea,11620668,value in absolute number,
2025,March,All India,wireless,Vodafone Idea,205358733,value in absolute number,
2025,March,Andhra Pradesh,wireless,BSNL,6937453,value in absolute number,
2025,March,Assam,wireless,BSNL,2970848,value in absolute number,
2025,March,Bihar,wireless,BSNL,5771775,value in absolute number,
2025,March,Delhi,wireless,BSNL,,value in absolute number,
2025,March,Gujarat,wireless,BSNL,3266954,value in absolute number,
2025,March,Haryana,wireless,BSNL,4212938,value in absolute number,
2025,March,Himachal Pradesh,wireless,BSNL,1682282,value in absolute number,
2025,March,Jammu and Kashmir,wireless,BSNL,866466,value in absolute number,
2025,March,Karnataka,wireless,BSNL,4573403,value in absolute number,
2025,March,Kerala,wireless,BSNL,8780341,value in absolute number,
2025,March,Kolkata,wireless,BSNL,,value in absolute number,
2025,March,Madhya Pradesh,wireless,BSNL,5164051,value in absolute number,
2025,March,Maharashtra,wireless,BSNL,5301279,value in absolute number,
2025,March,Mumbai,wireless,BSNL,,value in absolute number,
2025,March,North East,wireless,BSNL,1290499,value in absolute number,
2025,March,Odisha,wireless,BSNL,5573279,value in absolute number,
2025,March,Punjab,wireless,BSNL,4092007,value in absolute number,
2025,March,Rajasthan,wireless,BSNL,5634425,value in absolute number,
2025,March,Tamil Nadu,wireless,BSNL,7783902,value in absolute number,
2025,March,Uttar Pradesh (East),wireless,BSNL,8081876,value in absolute number,
2025,March,Uttar Pradesh (West),wireless,BSNL,4984322,value in absolute number,
2025,March,West Bengal,wireless,BSNL,2637783,value in absolute number,
2025,March,All India,wireless,BSNL,91060664,value in absolute number,
2025,March,Andhra Pradesh,wireless,MTNL,,value in absolute number,
2025,March,Assam,wireless,MTNL,,value in absolute number,
2025,March,Bihar,wireless,MTNL,,value in absolute number,
2025,March,Delhi,wireless,MTNL,789314,value in absolute number,
2025,March,Gujarat,wireless,MTNL,,value in absolute number,
2025,March,Haryana,wireless,MTNL,,value in absolute number,
2025,March,Himachal Pradesh,wireless,MTNL,,value in absolute number,
2025,March,Jammu and Kashmir,wireless,MTNL,,value in absolute number,
2025,March,Karnataka,wireless,MTNL,,value in absolute number,
2025,March,Kerala,wireless,MTNL,,value in absolute number,
2025,March,Kolkata,wireless,MTNL,1454781,value in absolute number,
2025,March,Madhya Pradesh,wireless,MTNL,,value in absolute number,
2025,March,Maharashtra,wireless,MTNL,,value in absolute number,
2025,March,Mumbai,wireless,MTNL,208915,value in absolute number,
2025,March,North East,wireless,MTNL,,value in absolute number,
2025,March,Odisha,wireless,MTNL,,value in absolute number,
2025,March,Punjab,wireless,MTNL,,value in absolute number,
